Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,98.8,4397125632,66.1,82.8,70520832,0.7999999999999972,23.4,0,74.85127994289151,-3.3734560545894965e-05
1,97.7,4407513088,66.2,81.7,80908288,0.9000000000000057,23.4,0,74.85225366400353,0.000939986551472316
2,98.2,4405006336,66.3,82.2,78401536,1.0,23.4,0,74.85225366400353,0.000939986551472316
3,99.5,4408901632,66.3,83.5,82296832,1.0,23.4,0,74.85225366400353,0.000939986551472316
4,99.5,4409208832,66.3,83.5,82604032,1.0,23.4,0,74.85225366400353,0.000939986551472316
5,99.5,4409712640,66.3,83.5,83107840,1.0,23.4,0,74.85225366400353,0.000939986551472316
6,99.8,4411338752,66.3,83.8,84733952,1.0,23.4,19333120,74.85673342351866,0.005419746066607445
7,99.0,4411518976,66.3,83.0,84914176,1.0,23.4,19333120,74.85673342351866,0.005419746066607445
8,98.8,4408274944,66.4,82.8,81670144,1.1000000000000085,23.4,19333120,74.85673342351866,0.005419746066607445
9,95.5,4411518976,66.4,79.5,84914176,1.1000000000000085,23.4,19333120,74.85673342351866,0.005419746066607445
10,98.8,4395880448,66.2,82.8,69275648,0.9000000000000057,23.4,19333120,74.85701656960826,0.005702892156207895
11,98.7,4402884608,66.4,82.7,76279808,1.1000000000000085,23.4,19333120,74.85701656960826,0.005702892156207895
12,97.8,4420919296,66.4,81.8,94314496,1.1000000000000085,23.4,19333120,74.85701656960826,0.005702892156207895
13,98.0,4421328896,66.4,82.0,94724096,1.1000000000000085,23.4,19333120,74.85712274774775,0.005809070295697438
14,99.5,4418875392,66.4,83.5,92270592,1.1000000000000085,23.4,19333120,74.85712274774775,0.005809070295697438
15,98.7,4413370368,66.3,82.7,86765568,1.0,23.4,19333120,74.85744127678564,0.006127599333581202
16,99.0,4413263872,66.3,83.0,86659072,1.0,23.4,19333120,74.85744127678564,0.006127599333581202
17,98.7,4412628992,66.3,82.7,86024192,1.0,23.4,19333120,74.85744127678564,0.006127599333581202
18,96.2,4415934464,66.3,80.2,89329664,1.0,23.4,19333120,74.85768901601315,0.006375338561099397
19,98.0,4419436544,66.4,82.0,92831744,1.1000000000000085,23.4,19333120,74.8579190552101,0.006605377758049258
20,99.5,4414156800,66.3,83.5,87552000,1.0,23.4,19333120,74.8579190552101,0.006605377758049258
21,99.5,4424433664,66.3,83.5,97828864,1.0,23.4,19333120,74.85899841368817,0.007684736236114986
22,98.0,4424216576,66.3,82.0,97611776,1.0,23.4,19333120,74.85899841368817,0.007684736236114986
23,99.2,4423884800,66.3,83.2,97280000,1.0,23.4,19333120,74.85899841368817,0.007684736236114986
24,99.0,4427878400,66.3,83.0,101273600,1.0,23.4,19333120,74.85899841368817,0.007684736236114986
25,99.0,4433448960,66.4,83.0,106844160,1.1000000000000085,23.4,19333120,74.85899841368817,0.007684736236114986
26,98.5,4433502208,66.4,82.5,106897408,1.1000000000000085,23.4,19333120,74.85899841368817,0.007684736236114986
27,100.0,4437897216,66.5,84.0,111292416,1.2000000000000028,23.4,19333120,74.85912226856958,0.007808591117523633
28,99.3,4365189120,65.6,83.3,38584320,0.29999999999999716,23.4,19333120,74.85912226856958,0.007808591117523633
29,98.7,4364177408,65.6,82.7,37572608,0.29999999999999716,23.4,19333120,74.85912226856958,0.007808591117523633
30,99.5,4363911168,65.5,83.5,37306368,0.20000000000000284,23.4,19333120,74.85919304223962,0.007879364787569898
31,99.2,4365402112,65.6,83.2,38797312,0.29999999999999716,23.4,19333120,74.85919304223962,0.007879364787569898
32,98.5,4401139712,66.5,82.5,74534912,1.2000000000000028,23.4,19333120,74.86032536677126,0.009011689319208926
33,100.0,4414861312,66.5,84.0,88256512,1.2000000000000028,23.4,19333120,74.86032536677126,0.009011689319208926
34,99.3,4323176448,66.4,83.3,-3428352,1.1000000000000085,23.4,19333120,74.8539052764383,0.002591598986242616
35,97.8,4335013888,66.5,81.8,8409088,1.2000000000000028,23.4,19333120,74.8539052764383,0.002591598986242616
36,97.0,4343652352,66.3,81.0,17047552,1.0,23.4,19333120,74.8539052764383,0.002591598986242616
