Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,99.7,4393226240,67.4,84.7,60166144,2.1000000000000085,23.4,0,74.89499428263184,-0.0014197717631532214
1,97.3,4416131072,67.7,82.3,83070976,2.4000000000000057,23.4,0,74.89522351263744,-0.001190541757551955
2,96.5,4425584640,67.5,81.5,92524544,2.200000000000003,23.4,0,74.89522351263744,-0.001190541757551955
3,95.8,4381757440,66.9,80.8,48697344,1.6000000000000085,23.4,0,74.89522351263744,-0.001190541757551955
4,99.5,4389175296,67.0,84.5,56115200,1.7000000000000028,23.4,0,74.89522351263744,-0.001190541757551955
5,99.0,4402409472,66.6,84.0,69349376,1.2999999999999972,23.4,0,74.89522351263744,-0.001190541757551955
6,98.3,4411617280,66.6,83.3,78557184,1.2999999999999972,23.4,0,74.8961403908001,-0.00027366359489633396
7,99.5,4432740352,66.9,84.5,99680256,1.6000000000000085,23.4,0,74.8961403908001,-0.00027366359489633396
8,99.5,4434497536,67.0,84.5,101437440,1.7000000000000028,23.4,0,74.8961403908001,-0.00027366359489633396
9,99.3,4437045248,66.8,84.3,103985152,1.5,23.4,0,74.8961403908001,-0.00027366359489633396
10,99.8,4437893120,66.8,84.8,104833024,1.5,23.4,0,74.8961403908001,-0.00027366359489633396
11,99.8,4441710592,66.9,84.8,108650496,1.6000000000000085,23.4,0,74.8961403908001,-0.00027366359489633396
12,99.5,4450099200,67.0,84.5,117039104,1.7000000000000028,23.4,0,74.8961403908001,-0.00027366359489633396
13,97.7,4450004992,67.0,82.7,116944896,1.7000000000000028,23.4,0,74.8959299789788,-0.00048407541619610583
14,98.8,4449124352,67.0,83.8,116064256,1.7000000000000028,23.4,0,74.89603576889283,-0.0003782855021654541
15,93.0,4449640448,67.0,78.0,116580352,1.7000000000000028,23.4,0,74.89603576889283,-0.0003782855021654541
16,99.0,4450209792,67.0,84.0,117149696,1.7000000000000028,23.4,0,74.89582535884327,-0.0005886955517269143
17,99.7,4458188800,67.1,84.7,125128704,1.7999999999999972,23.4,0,74.8961427250042,-0.00027132939079876905
18,99.8,4396929024,66.3,84.8,63868928,1.0,23.4,7143424,74.90086700554808,0.004452951153083973
19,99.3,4394962944,66.3,84.3,61902848,1.0,23.4,7143424,74.90086700554808,0.004452951153083973
20,99.8,4394868736,66.3,84.8,61808640,1.0,23.4,7143424,74.90086700554808,0.004452951153083973
21,98.7,4395180032,66.3,83.7,62119936,1.0,23.4,7143424,74.90086700554808,0.004452951153083973
22,99.3,4397252608,66.3,84.3,64192512,1.0,23.4,7143424,74.90099037710729,0.0045763227122961325
23,99.0,4394926080,66.3,84.0,61865984,1.0,23.4,7143424,74.90099037710729,0.0045763227122961325
24,99.5,4393766912,66.3,84.5,60706816,1.0,23.4,7143424,74.90120186838712,0.004787813992123802
