Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,72.7,4397527040,66.5,46.1,37494784,0.5,23.2,0,74.76737301505703,-0.00021206075302870886
1,65.7,4399898624,66.4,39.1,39866368,0.4000000000000057,23.2,0,74.76737301505703,-0.00021206075302870886
2,71.6,4403089408,66.5,44.99999999999999,43057152,0.5,23.2,0,74.76756982123155,-1.5254578514145578e-05
3,73.9,4401864704,66.5,47.300000000000004,41832448,0.5,23.2,0,74.76756982123155,-1.5254578514145578e-05
4,66.6,4402286592,66.4,39.99999999999999,42254336,0.4000000000000057,23.2,0,74.76756982123155,-1.5254578514145578e-05
5,51.7,4402454528,66.4,25.1,42422272,0.4000000000000057,23.2,0,74.76756982123155,-1.5254578514145578e-05
6,19.9,4376920064,66.1,-6.700000000000003,16887808,0.09999999999999432,23.2,0,74.76756982123155,-1.5254578514145578e-05
