Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,86.0,4379533312,66.4,62.2,43491328,0.6000000000000085,23.2,0,74.76722724052865,-0.0002650801234693745
1,61.1,4387155968,66.3,37.3,51113984,0.5,23.2,0,74.76722724052865,-0.0002650801234693745
2,44.8,4359270400,66.0,20.999999999999996,23228416,0.20000000000000284,23.2,0,74.76751350956572,2.118891359259578e-05
