Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,99.0,4350115840,65.4,75.7,71774208,0.9000000000000057,22.7,0,74.78924219648962,-0.00010682788845883806
1,99.2,4352679936,65.4,75.9,74338304,0.9000000000000057,22.7,0,74.78924219648962,-0.00010682788845883806
2,98.5,4354015232,65.4,75.2,75673600,0.9000000000000057,22.7,0,74.78924219648962,-0.00010682788845883806
3,99.0,4353900544,65.4,75.7,75558912,0.9000000000000057,22.7,0,74.78924219648962,-0.00010682788845883806
4,99.3,4359811072,65.4,76.0,81469440,0.9000000000000057,22.7,0,74.78924219648962,-0.00010682788845883806
5,99.5,4351672320,65.3,76.2,73330688,0.7999999999999972,22.7,0,74.78924219648962,-0.00010682788845883806
6,99.3,4348420096,65.3,76.0,70078464,0.7999999999999972,22.7,0,74.78946072040225,0.00011169602416316593
7,97.5,4348895232,65.3,74.2,70553600,0.7999999999999972,22.7,0,74.78929865416953,-5.037020855525043e-05
8,97.0,4354498560,65.3,73.7,76156928,0.7999999999999972,22.7,0,74.78938970506974,4.068069165441557e-05
9,98.8,4353794048,65.4,75.5,75452416,0.9000000000000057,22.7,0,74.79479694899929,0.005447924621208244
10,98.0,4350066688,65.3,74.7,71725056,0.7999999999999972,22.7,0,74.79490616234766,0.00555713796957491
11,97.0,4401139712,66.2,73.7,122798080,1.7000000000000028,22.7,0,74.79490616234766,0.00555713796957491
12,99.8,4366524416,66.3,76.5,88182784,1.7999999999999972,22.7,0,74.79490616234766,0.00555713796957491
13,99.2,4354117632,66.7,75.9,75776000,2.200000000000003,22.7,0,74.79490616234766,0.00555713796957491
14,99.3,4353589248,66.4,76.0,75247616,1.9000000000000057,22.7,0,74.79469010699512,0.0053410826170363634
15,96.5,4350545920,66.4,73.2,72204288,1.9000000000000057,22.7,0,74.79469010699512,0.0053410826170363634
16,97.7,4361469952,66.5,74.4,83128320,2.0,22.7,0,74.79452806629986,0.005179041921778094
17,98.7,4365668352,65.7,75.4,87326720,1.2000000000000028,22.7,0,74.79452806629986,0.005179041921778094
18,97.7,4363943936,65.7,74.4,85602304,1.2000000000000028,22.7,0,74.79452806629986,0.005179041921778094
19,97.0,4368302080,65.8,73.7,89960448,1.2999999999999972,22.7,0,74.79452806629986,0.005179041921778094
20,99.8,4368957440,65.8,76.5,90615808,1.2999999999999972,22.7,0,74.79452806629986,0.005179041921778094
21,98.7,4369977344,65.8,75.4,91635712,1.2999999999999972,22.7,0,74.79452806629986,0.005179041921778094
22,98.8,4370841600,65.8,75.5,92499968,1.2999999999999972,22.7,0,74.79452806629986,0.005179041921778094
23,97.0,4371636224,65.8,73.7,93294592,1.2999999999999972,22.7,0,74.79452806629986,0.005179041921778094
24,86.2,4310753280,65.1,62.900000000000006,32411648,0.5999999999999943,22.7,9052160,74.79849554895928,0.009146524581197468
