Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,99.3,4396605440,66.3,70.1,83304448,1.0999999999999943,22.7,0,74.79875029874272,0.00025474978343709154
1,97.0,4403953664,66.3,67.8,90652672,1.0999999999999943,22.7,0,74.80031507728563,0.0018195283263509054
2,99.5,4402786304,66.3,70.3,89485312,1.0999999999999943,22.7,0,74.80031507728563,0.0018195283263509054
3,99.2,4405248000,66.4,70.0,91947008,1.2000000000000028,22.7,0,74.80031507728563,0.0018195283263509054
4,98.8,4416208896,66.4,69.6,102907904,1.2000000000000028,22.7,0,74.80042424063022,0.0019286916709404522
5,99.2,4413677568,66.4,70.0,100376576,1.2000000000000028,22.7,0,74.80042424063022,0.0019286916709404522
6,99.5,4420710400,66.4,70.3,107409408,1.2000000000000028,22.7,0,74.80047882194783,0.0019832729885536082
7,97.2,4425224192,66.5,68.0,111923200,1.2999999999999972,22.7,0,74.80067895142291,0.002183402463629136
8,99.0,4423360512,66.5,69.8,110059520,1.2999999999999972,22.7,0,74.80067895142291,0.002183402463629136
9,96.7,4424249344,66.5,67.5,110948352,1.2999999999999972,22.7,0,74.8007699183153,0.0022743693560158817
10,99.0,4428742656,66.5,69.8,115441664,1.2999999999999972,22.7,0,74.8007699183153,0.0022743693560158817
11,99.3,4425871360,66.5,70.1,112570368,1.2999999999999972,22.7,0,74.80098823617747,0.0024926872181936233
12,99.7,4427771904,66.5,70.5,114470912,1.2999999999999972,22.7,0,74.80098823617747,0.0024926872181936233
13,100.0,4363317248,65.7,70.8,50016256,0.5,22.7,0,74.80109739368999,0.0026018447307052384
14,97.0,4361756672,65.7,67.8,48455680,0.5,22.7,0,74.80109739368999,0.0026018447307052384
15,99.5,4363689984,65.7,70.3,50388992,0.5,22.7,0,74.80109739368999,0.0026018447307052384
16,99.5,4360413184,65.7,70.3,47112192,0.5,22.7,0,74.80109739368999,0.0026018447307052384
17,99.0,4359467008,65.7,69.8,46166016,0.5,22.7,0,74.80109739368999,0.0026018447307052384
18,99.3,4362211328,65.7,70.1,48910336,0.5,22.7,0,74.80131570587794,0.0028201569186592224
19,98.2,4363685888,65.7,69.0,50384896,0.5,22.7,0,74.80131570587794,0.0028201569186592224
20,98.3,4364201984,65.8,69.1,50900992,0.5999999999999943,22.7,0,74.80131570587794,0.0028201569186592224
21,99.5,4362219520,65.7,70.3,48918528,0.5,22.7,0,74.80131570587794,0.0028201569186592224
22,99.8,4362768384,65.7,70.6,49467392,0.5,22.7,0,74.80131570587794,0.0028201569186592224
23,99.7,4363743232,65.7,70.5,50442240,0.5,22.7,0,74.80131570587794,0.0028201569186592224
24,98.7,4364795904,65.8,69.5,51494912,0.5999999999999943,22.7,0,74.80131570587794,0.0028201569186592224
25,98.5,4369780736,65.8,69.3,56479744,0.5999999999999943,22.7,0,74.80131570587794,0.0028201569186592224
26,99.7,4372283392,65.8,70.5,58982400,0.5999999999999943,22.7,8642560,74.80933825742349,0.010842708464210205
27,99.5,4374016000,65.9,70.3,60715008,0.7000000000000028,22.7,8642560,74.80933825742349,0.010842708464210205
28,99.5,4379992064,65.9,70.3,66691072,0.7000000000000028,22.7,8642560,74.80933825742349,0.010842708464210205
29,98.7,4379025408,65.9,69.5,65724416,0.7000000000000028,22.7,8642560,74.80941098015045,0.010915431191165226
30,99.0,4385312768,66.0,69.8,72011776,0.7999999999999972,22.7,8642560,74.81039269586981,0.011897146910527567
31,99.5,4381704192,65.9,70.3,68403200,0.7000000000000028,22.7,8642560,74.81039269586981,0.011897146910527567
32,99.2,4378165248,65.9,70.0,64864256,0.7000000000000028,22.7,8642560,74.81039269586981,0.011897146910527567
33,99.0,4379267072,65.9,69.8,65966080,0.7000000000000028,22.7,8642560,74.81039269586981,0.011897146910527567
34,99.8,4379246592,65.9,70.6,65945600,0.7000000000000028,22.7,8642560,74.81071991743917,0.012224368479891723
35,99.5,4382552064,66.0,70.3,69251072,0.7999999999999972,22.7,8642560,74.81071991743917,0.012224368479891723
36,99.0,4385366016,66.0,69.8,72065024,0.7999999999999972,22.7,8642560,74.81071991743917,0.012224368479891723
37,98.0,4387717120,66.0,68.8,74416128,0.7999999999999972,22.7,8642560,74.81071991743917,0.012224368479891723
38,98.5,4385021952,66.0,69.3,71720960,0.7999999999999972,22.7,8642560,74.81071991743917,0.012224368479891723
39,99.3,4387266560,66.0,70.1,73965568,0.7999999999999972,22.7,8642560,74.81084716797581,0.012351619016527593
40,99.7,4388741120,66.0,70.5,75440128,0.7999999999999972,22.7,8642560,74.81084716797581,0.012351619016527593
41,97.8,4382326784,66.0,68.6,69025792,0.7999999999999972,22.7,8642560,74.81084716797581,0.012351619016527593
42,99.5,4385779712,66.0,70.3,72478720,0.7999999999999972,22.7,8642560,74.81084716797581,0.012351619016527593
43,99.5,4387303424,66.2,70.3,74002432,1.0,22.7,8642560,74.81084716797581,0.012351619016527593
44,98.5,4389777408,66.2,69.3,76476416,1.0,22.7,8642560,74.81084716797581,0.012351619016527593
45,25.9,4310077440,65.3,-3.3000000000000007,-3223552,0.09999999999999432,22.7,8642560,74.81084716797581,0.012351619016527593
