Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,78.1,4371316736,66.0,59.8,25632768,0.29999999999999716,23.2,0,74.77078129184278,-5.297133066051174e-05
1,63.3,4368187392,65.9,45.0,22503424,0.20000000000000284,23.2,0,74.77078129184278,-5.297133066051174e-05
2,69.1,4372189184,65.9,50.8,26505216,0.20000000000000284,23.2,0,74.77078129184278,-5.297133066051174e-05
3,77.0,4366282752,65.9,58.7,20598784,0.20000000000000284,23.2,0,74.76767464958154,-0.003159613591904531
4,64.0,4366057472,65.9,45.7,20373504,0.20000000000000284,23.2,0,74.7643908589887,-0.006443404184736323
5,69.8,4379090944,66.0,51.5,33406976,0.29999999999999716,23.2,0,74.74326934039996,-0.027564922773478884
6,82.2,4379877376,66.1,63.900000000000006,34193408,0.3999999999999915,23.2,0,74.74302402738621,-0.02781023578722852
7,47.2,4346904576,66.0,28.900000000000002,1220608,0.29999999999999716,23.2,0,74.73803545355024,-0.03279880962320192
