Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,63.0,4379062272,66.3,47.6,37146624,0.3999999999999915,23.2,0,74.7384579872364,0.0005268941520171211
1,65.2,4376854528,65.9,49.800000000000004,34938880,0.0,23.2,0,74.72046958985217,-0.017461503232212294
2,58.7,4380233728,66.0,43.300000000000004,38318080,0.09999999999999432,23.2,0,74.72046958985217,-0.017461503232212294
3,53.4,4379226112,66.0,38.0,37310464,0.09999999999999432,23.2,0,74.7204874851165,-0.01744360796789124
4,71.3,4375216128,66.0,55.9,33300480,0.09999999999999432,23.2,0,74.7204874851165,-0.01744360796789124
5,67.1,4379512832,66.0,51.699999999999996,37597184,0.09999999999999432,23.2,0,74.72093485849066,-0.01699623459371935
6,54.3,4388556800,66.0,38.9,46641152,0.09999999999999432,23.2,0,74.72093485849066,-0.01699623459371935
7,64.2,4385034240,66.0,48.800000000000004,43118592,0.09999999999999432,23.2,16297984,74.73148827563077,-0.006442817453617522
8,61.3,4385787904,66.0,45.9,43872256,0.09999999999999432,23.2,16297984,74.73148827563077,-0.006442817453617522
9,58.2,4392595456,66.0,42.800000000000004,50679808,0.09999999999999432,23.2,16297984,74.73155979414926,-0.006371298935121672
10,61.0,4390928384,66.0,45.6,49012736,0.09999999999999432,23.2,16297984,74.73155979414926,-0.006371298935121672
11,60.1,4394631168,66.1,44.7,52715520,0.19999999999998863,23.2,16297984,74.73155979414926,-0.006371298935121672
12,25.1,4361080832,65.6,9.700000000000001,19165184,-0.30000000000001137,23.2,16297984,74.73155979414926,-0.006371298935121672
