Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,95.7,4405149696,66.5,65.30000000000001,61513728,0.5999999999999943,22.7,0,74.7509304806986,-0.00435664140312042
1,92.5,4406472704,66.4,62.1,62836736,0.5,22.7,0,74.74990862599397,-0.0053784961077525395
2,93.8,4418076672,66.6,63.4,74440704,0.6999999999999886,22.7,0,74.74996312671101,-0.005323995390710934
3,96.7,4410019840,66.5,66.30000000000001,66383872,0.5999999999999943,22.7,0,74.74831484440595,-0.006972277695766138
4,97.0,4419932160,66.5,66.6,76296192,0.5999999999999943,22.7,0,74.74831484440595,-0.006972277695766138
5,95.0,4417753088,66.5,64.6,74117120,0.5999999999999943,22.7,0,74.74831484440595,-0.006972277695766138
6,90.7,4420124672,66.5,60.300000000000004,76488704,0.5999999999999943,22.7,0,74.74600244321117,-0.009284678890551845
7,97.3,4427595776,66.6,66.9,83959808,0.6999999999999886,22.7,3731456,74.74826747309315,-0.007019649008569218
8,98.0,4423884800,66.5,67.6,80248832,0.5999999999999943,22.7,3731456,74.74826747309315,-0.007019649008569218
9,95.5,4421595136,66.6,65.1,77959168,0.6999999999999886,22.7,3731456,74.74826747309315,-0.007019649008569218
10,93.9,4424843264,66.6,63.50000000000001,81207296,0.6999999999999886,22.7,3731456,74.74670965319453,-0.008577468907191133
11,89.9,4424945664,66.6,59.50000000000001,81309696,0.6999999999999886,22.7,3731456,74.74670965319453,-0.008577468907191133
12,97.7,4433543168,66.7,67.30000000000001,89907200,0.7999999999999972,22.7,3731456,74.74670965319453,-0.008577468907191133
13,91.9,4434427904,66.7,61.50000000000001,90791936,0.7999999999999972,22.7,3731456,74.7467852279814,-0.008501894120314546
14,90.2,4432781312,66.7,59.800000000000004,89145344,0.7999999999999972,22.7,3731456,74.74522604535005,-0.010061076751668452
15,95.2,4429811712,66.7,64.80000000000001,86175744,0.7999999999999972,22.7,3731456,74.74522604535005,-0.010061076751668452
16,94.5,4433084416,66.6,64.1,89448448,0.6999999999999886,22.7,3731456,74.74528054205884,-0.010006580042883684
17,93.9,4434911232,66.7,63.50000000000001,91275264,0.7999999999999972,22.7,3731456,74.74399318130325,-0.011293940798466906
18,97.5,4433973248,66.7,67.1,90337280,0.7999999999999972,22.7,3731456,74.74109018670852,-0.014196935393201215
19,96.2,4420157440,66.8,65.80000000000001,76521472,0.8999999999999915,22.7,3731456,74.73867119679745,-0.016615925304265033
20,92.7,4426887168,66.8,62.300000000000004,83251200,0.8999999999999915,22.7,3731456,74.73867119679745,-0.016615925304265033
21,97.2,4431421440,66.8,66.80000000000001,87785472,0.8999999999999915,22.7,3731456,74.73867119679745,-0.016615925304265033
22,99.8,4354293760,65.8,69.4,10657792,-0.10000000000000853,22.7,3731456,74.73885288017009,-0.01643424193163412
23,99.3,4345475072,65.7,68.9,1839104,-0.20000000000000284,22.7,3731456,74.73885288017009,-0.01643424193163412
24,93.9,4344381440,65.3,63.50000000000001,745472,-0.6000000000000085,22.7,3731456,74.7358428146081,-0.019444307493614588
25,91.7,4342886400,65.3,61.300000000000004,-749568,-0.6000000000000085,22.7,3731456,74.73406913950663,-0.02121798259508978
26,96.5,4343177216,65.4,66.1,-458752,-0.5,22.7,3731456,74.73247495188863,-0.022812170213086347
27,98.0,4346195968,65.4,67.6,2560000,-0.5,22.7,3731456,74.73276568814993,-0.022521433951794734
28,97.5,4350615552,65.4,67.1,6979584,-0.5,22.7,3731456,74.73276568814993,-0.022521433951794734
29,96.2,4342173696,65.2,65.80000000000001,-1462272,-0.7000000000000028,22.7,3731456,74.73276568814993,-0.022521433951794734
30,94.2,4342333440,65.3,63.800000000000004,-1302528,-0.6000000000000085,22.7,3731456,74.73018607955771,-0.025101042544008578
31,91.0,4346454016,65.3,60.6,2818048,-0.6000000000000085,22.7,3731456,74.73076757129913,-0.02451955080259438
32,95.5,4340244480,65.2,65.1,-3391488,-0.7000000000000028,22.7,3731456,74.72872631883233,-0.026560803269390476
33,97.2,4341542912,65.2,66.80000000000001,-2093056,-0.7000000000000028,22.7,3731456,74.72872631883233,-0.026560803269390476
34,97.5,4353568768,65.3,67.1,9932800,-0.6000000000000085,22.7,3731456,74.72872631883233,-0.026560803269390476
35,94.2,4356562944,65.4,63.800000000000004,12926976,-0.5,22.7,3731456,74.72872631883233,-0.026560803269390476
36,91.1,4357599232,65.4,60.699999999999996,13963264,-0.5,22.7,3731456,74.72872631883233,-0.026560803269390476
37,98.0,4358651904,65.4,67.6,15015936,-0.5,22.7,10047488,74.73101392064507,-0.02427320145665135
38,93.7,4360704000,65.5,63.300000000000004,17068032,-0.4000000000000057,22.7,10047488,74.73125003593874,-0.02403708616297706
39,93.7,4367855616,65.6,63.300000000000004,24219648,-0.30000000000001137,22.7,10047488,74.72630858706808,-0.028978535033644448
40,96.3,4371521536,65.6,65.9,27885568,-0.30000000000001137,22.7,10047488,74.72630858706808,-0.028978535033644448
41,97.5,4371537920,65.6,67.1,27901952,-0.30000000000001137,22.7,10047488,74.72630858706808,-0.028978535033644448
42,97.0,4373164032,65.6,66.6,29528064,-0.30000000000001137,22.7,10047488,74.72641757597276,-0.0288695461289592
43,91.5,4370227200,65.5,61.1,26591232,-0.4000000000000057,22.7,10047488,74.72228231223826,-0.03300480986345633
44,92.6,4368998400,65.6,62.199999999999996,25362432,-0.30000000000001137,22.7,10047488,74.72228231223826,-0.03300480986345633
45,95.7,4370178048,65.6,65.30000000000001,26542080,-0.30000000000001137,22.7,10047488,74.72008060528707,-0.03520651681465381
46,92.2,4375527424,65.6,61.800000000000004,31891456,-0.30000000000001137,22.7,10047488,74.72008060528707,-0.03520651681465381
47,93.2,4373303296,65.6,62.800000000000004,29667328,-0.30000000000001137,22.7,10047488,74.71864974876105,-0.03663737334066752
48,99.3,4374847488,65.6,68.9,31211520,-0.30000000000001137,22.7,10047488,74.71864974876105,-0.03663737334066752
49,93.1,4381786112,65.7,62.699999999999996,38150144,-0.20000000000000284,22.7,10047488,74.71671673110367,-0.03857039099804638
50,91.7,4380504064,65.7,61.300000000000004,36868096,-0.20000000000000284,22.7,10047488,74.71671673110367,-0.03857039099804638
51,97.0,4382928896,65.7,66.6,39292928,-0.20000000000000284,22.7,10047488,74.71671673110367,-0.03857039099804638
52,98.7,4389076992,65.8,68.30000000000001,45441024,-0.10000000000000853,22.7,10047488,74.71548179996162,-0.03980532214009713
