Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,96.2,4421410816,66.7,77.4,56922112,0.7000000000000028,22.8,0,74.74304156633188,-0.003860642664690772
1,98.0,4429443072,66.9,79.2,64954368,0.9000000000000057,22.8,0,74.74272064553664,-0.004181563459937365
2,51.9,4386607104,66.2,33.099999999999994,22118400,0.20000000000000284,22.8,0,74.74272064553664,-0.004181563459937365
