Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,97.5,4377690112,66.1,79.1,82354176,1.0,22.8,0,74.74208398004653,-0.0004278791133742743
1,98.8,4385456128,66.3,80.4,90120192,1.2000000000000028,22.8,0,74.74208398004653,-0.0004278791133742743
2,97.0,4385734656,66.2,78.6,90398720,1.1000000000000085,22.8,0,74.74208398004653,-0.0004278791133742743
3,97.5,4386988032,66.2,79.1,91652096,1.1000000000000085,22.8,0,74.74208398004653,-0.0004278791133742743
4,99.0,4394360832,66.3,80.6,99024896,1.2000000000000028,22.8,0,74.74208398004653,-0.0004278791133742743
5,99.5,4400218112,66.3,81.1,104882176,1.2000000000000028,22.8,4136960,74.74690889006223,0.0043970309023251275
6,75.7,4303933440,65.1,57.300000000000004,8597504,0.0,22.8,4136960,74.74844452329835,0.0059326641384416234
