Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,98.5,4377976832,66.2,84.3,-3137536,0.0,22.8,0,74.74252772227915,2.9479814429578255e-06
1,96.7,4379004928,66.1,82.5,-2109440,-0.10000000000000853,22.8,0,74.74252772227915,2.9479814429578255e-06
2,97.8,4381253632,66.2,83.6,139264,0.0,22.8,0,74.74252772227915,2.9479814429578255e-06
3,98.0,4380286976,66.2,83.8,-827392,0.0,22.8,0,74.74267231509046,0.00014754079275292042
4,32.8,4307750912,65.2,18.599999999999998,-73363456,-1.0,22.8,0,74.74267231509046,0.00014754079275292042
