Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,96.5,4396466176,66.1,68.8,68521984,0.8999999999999915,22.7,0,74.74054222965918,-0.0005919629480644062
1,96.5,4398444544,66.1,68.8,70500352,0.8999999999999915,22.7,0,74.74016553084714,-0.0009686617601118996
2,95.0,4398108672,66.1,67.3,70164480,0.8999999999999915,22.7,0,74.74016553084714,-0.0009686617601118996
3,91.8,4404736000,66.2,64.1,76791808,1.0,22.7,0,74.74016553084714,-0.0009686617601118996
4,94.9,4412219392,66.2,67.2,84275200,1.0,22.7,0,74.74031102915816,-0.0008231634490840634
5,95.7,4411346944,66.2,68.0,83402752,1.0,22.7,0,74.74031102915816,-0.0008231634490840634
6,91.1,4421492736,66.2,63.39999999999999,93548544,1.0,22.7,0,74.74031102915816,-0.0008231634490840634
7,93.0,4424794112,66.3,65.3,96849920,1.0999999999999943,22.7,0,74.74009577521984,-0.0010384173874058433
8,95.7,4426043392,66.3,68.0,98099200,1.0999999999999943,22.7,0,74.74018671132609,-0.0009474812811589572
9,90.5,4428435456,66.5,62.8,100491264,1.2999999999999972,22.7,0,74.74015108533182,-0.000983107275430939
10,69.3,4371337216,65.8,41.599999999999994,43393024,0.5999999999999943,22.7,0,74.74024202078063,-0.0008921718266208245
