Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,98.0,4384428032,67.0,75.9,76537856,0.29999999999999716,22.7,0,74.74625035000572,0.00029084820367586417
1,98.5,4388786176,66.3,76.4,80896000,-0.4000000000000057,22.7,0,74.74632306100986,0.00036355920781261375
2,97.2,4409233408,66.6,75.1,101343232,-0.10000000000000853,22.7,0,74.74632306100986,0.00036355920781261375
3,97.7,4406063104,66.6,75.6,98172928,-0.10000000000000853,22.7,0,74.74632306100986,0.00036355920781261375
4,98.5,4409503744,66.4,76.4,101613568,-0.29999999999999716,22.7,0,74.74632306100986,0.00036355920781261375
5,98.0,4406927360,66.4,75.9,99037184,-0.29999999999999716,22.7,0,74.74950375762356,0.0035442558215095232
6,97.8,4411645952,66.4,75.69999999999999,103755776,-0.29999999999999716,22.7,0,74.74981269688419,0.0038531950821436567
7,97.5,4424159232,66.5,75.4,116269056,-0.20000000000000284,22.7,0,74.74981269688419,0.0038531950821436567
8,98.2,4416516096,66.5,76.1,108625920,-0.20000000000000284,22.7,0,74.74981269688419,0.0038531950821436567
9,98.7,4415258624,66.4,76.6,107368448,-0.29999999999999716,22.7,0,74.74981269688419,0.0038531950821436567
10,98.8,4410904576,66.4,76.69999999999999,103014400,-0.29999999999999716,22.7,0,74.74981269688419,0.0038531950821436567
11,97.2,4413108224,66.5,75.1,105218048,-0.20000000000000284,22.7,6991872,74.75453670850007,0.0085772066980212
12,98.7,4428021760,66.6,76.6,120131584,-0.10000000000000853,22.7,6991872,74.75453670850007,0.0085772066980212
13,99.3,4421849088,66.5,77.19999999999999,113958912,-0.20000000000000284,22.7,6991872,74.75453670850007,0.0085772066980212
14,97.5,4419682304,66.5,75.4,111792128,-0.20000000000000284,22.7,6991872,74.75453670850007,0.0085772066980212
15,96.7,4391317504,66.1,74.6,83427328,-0.6000000000000085,22.7,6991872,74.75470020032698,0.008740698524931645
16,98.7,4396572672,66.2,76.6,88682496,-0.5,22.7,6991872,74.75470020032698,0.008740698524931645
17,99.3,4412440576,66.4,77.19999999999999,104550400,-0.29999999999999716,22.7,6991872,74.75470020032698,0.008740698524931645
18,98.8,4416966656,66.5,76.69999999999999,109076480,-0.20000000000000284,22.7,6991872,74.75470020032698,0.008740698524931645
19,97.2,4418732032,66.5,75.1,110841856,-0.20000000000000284,22.7,6991872,74.75470020032698,0.008740698524931645
20,97.8,4420243456,66.5,75.69999999999999,112353280,-0.20000000000000284,22.7,6991872,74.75470020032698,0.008740698524931645
21,99.7,4428771328,66.6,77.6,120881152,-0.10000000000000853,22.7,6991872,74.75477286268143,0.008813360879386778
22,98.5,4437442560,66.7,76.4,129552384,0.0,22.7,6991872,74.75484552461764,0.008886022815588035
23,97.5,4430241792,66.7,75.4,122351616,0.0,22.7,6991872,74.75463036251385,0.008670860711802675
24,96.5,4435910656,66.7,74.4,128020480,0.0,22.7,6991872,74.75463036251385,0.008670860711802675
25,98.0,4436369408,66.7,75.9,128479232,0.0,22.7,6991872,74.75463036251385,0.008670860711802675
26,98.8,4409405440,66.4,76.69999999999999,101515264,-0.29999999999999716,22.7,6991872,74.75463036251385,0.008670860711802675
27,97.0,4427403264,66.6,74.9,119513088,-0.10000000000000853,22.7,6991872,74.75463036251385,0.008670860711802675
28,98.0,4431818752,66.6,75.9,123928576,-0.10000000000000853,22.7,6991872,74.75463036251385,0.008670860711802675
29,98.0,4432711680,66.7,75.9,124821504,0.0,22.7,6991872,74.75463036251385,0.008670860711802675
30,97.7,4433813504,66.8,75.6,125923328,0.09999999999999432,22.7,6991872,74.75521164622685,0.009252144424806374
31,38.7,4323106816,65.4,16.6,15216640,-1.2999999999999972,22.7,6991872,74.75521164622685,0.009252144424806374
