Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,46.6,4359741440,65.7,26.200000000000003,32518144,0.29999999999999716,23.3,0,74.78208619678014,-0.00015779162879425712
1,47.4,4363517952,65.7,27.0,36294656,0.29999999999999716,23.3,0,74.78229986521056,5.587680162477682e-05
2,50.9,4373458944,65.8,30.5,46235648,0.3999999999999915,23.3,0,74.78229986521056,5.587680162477682e-05
3,49.7,4373835776,65.8,29.300000000000004,46612480,0.3999999999999915,23.3,0,74.78229986521056,5.587680162477682e-05
4,54.1,4375101440,65.8,33.7,47878144,0.3999999999999915,23.3,0,74.78229986521056,5.587680162477682e-05
5,48.8,4378198016,65.8,28.4,50974720,0.3999999999999915,23.3,0,74.78229986521056,5.587680162477682e-05
6,48.7,4377042944,65.9,28.300000000000004,49819648,0.5,23.3,0,74.78229986521056,5.587680162477682e-05
7,64.8,4378079232,65.9,44.4,50855936,0.5,23.3,0,74.78229986521056,5.587680162477682e-05
8,56.2,4381401088,65.9,35.800000000000004,54177792,0.5,23.3,0,74.78229986521056,5.587680162477682e-05
9,48.1,4381544448,65.9,27.700000000000003,54321152,0.5,23.3,0,74.78285182523085,0.0006078368219135655
10,54.8,4384079872,65.9,34.4,56856576,0.5,23.3,0,74.78285182523085,0.0006078368219135655
11,50.6,4388864000,66.0,30.200000000000003,61640704,0.5999999999999943,23.3,0,74.78285182523085,0.0006078368219135655
12,51.0,4389715968,66.0,30.6,62492672,0.5999999999999943,23.3,0,74.78292304411862,0.0006790557096820748
13,55.9,4389351424,66.0,35.5,62128128,0.5999999999999943,23.3,11808768,74.78711125700187,0.0048672685929318504
14,51.5,4390850560,66.0,31.1,63627264,0.5999999999999943,23.3,11808768,74.78711125700187,0.0048672685929318504
15,47.0,4392169472,66.0,26.6,64946176,0.5999999999999943,23.3,11808768,74.78720024848403,0.004956260075090313
16,53.1,4396072960,66.1,32.7,68849664,0.6999999999999886,23.3,11808768,74.78720024848403,0.004956260075090313
17,62.3,4400730112,66.1,41.9,73506816,0.6999999999999886,23.3,11808768,74.78720024848403,0.004956260075090313
18,49.2,4399812608,66.3,28.800000000000004,72589312,0.8999999999999915,23.3,11808768,74.78720024848403,0.004956260075090313
19,71.7,4421058560,66.5,51.300000000000004,93835264,1.0999999999999943,23.3,11808768,74.78720024848403,0.004956260075090313
20,68.8,4365873152,66.8,48.4,38649856,1.3999999999999915,23.3,11808768,74.78720024848403,0.004956260075090313
21,46.3,4365508608,66.8,25.9,38285312,1.3999999999999915,23.3,11808768,74.7878587659278,0.00561477751885775
22,56.7,4397101056,66.9,36.300000000000004,69877760,1.5,23.3,11808768,74.7878587659278,0.00561477751885775
23,55.8,4400979968,67.0,35.4,73756672,1.5999999999999943,23.3,11808768,74.7878587659278,0.00561477751885775
24,47.6,4401336320,67.0,27.200000000000003,74113024,1.5999999999999943,23.3,11808768,74.7878587659278,0.00561477751885775
25,46.7,4382429184,66.2,26.300000000000004,55205888,0.7999999999999972,23.3,11808768,74.7878587659278,0.00561477751885775
26,46.9,4388859904,66.2,26.5,61636608,0.7999999999999972,23.3,11808768,74.78816131646342,0.0059173280544797535
27,65.1,4401336320,66.4,44.699999999999996,74113024,1.0,23.3,11808768,74.78816131646342,0.0059173280544797535
28,59.0,4402761728,66.4,38.6,75538432,1.0,23.3,11808768,74.78823250376946,0.005988515360527913
29,45.3,4396564480,66.2,24.9,69341184,0.7999999999999972,23.3,11808768,74.78823250376946,0.005988515360527913
30,53.5,4395016192,66.2,33.1,67792896,0.7999999999999972,23.3,11808768,74.78823250376946,0.005988515360527913
31,55.6,4398702592,66.2,35.2,71479296,0.7999999999999972,23.3,11808768,74.79011882091034,0.00787483250140042
32,50.3,4404543488,66.3,29.9,77320192,0.8999999999999915,23.3,11808768,74.79040352350769,0.008159535098755555
33,52.9,4407287808,66.3,32.5,80064512,0.8999999999999915,23.3,11808768,74.79040352350769,0.008159535098755555
34,65.9,4420083712,66.5,45.50000000000001,92860416,1.0999999999999943,23.3,11808768,74.79040352350769,0.008159535098755555
35,91.0,4360753152,66.3,70.6,33529856,0.8999999999999915,23.4,11808768,74.79157785375301,0.00933386534407532
36,51.9,4355592192,66.3,31.5,28368896,0.8999999999999915,23.4,11808768,74.79157785375301,0.00933386534407532
37,65.2,4353331200,66.2,44.800000000000004,26107904,0.7999999999999972,23.4,11808768,74.79168460562293,0.009440617213996916
38,51.9,4355682304,66.2,31.5,28459008,0.7999999999999972,23.4,11808768,74.79168460562293,0.009440617213996916
39,50.1,4346703872,66.2,29.700000000000003,19480576,0.7999999999999972,23.4,11808768,74.79168460562293,0.009440617213996916
40,55.3,4353777664,65.7,34.9,26554368,0.29999999999999716,23.4,11808768,74.79168460562293,0.009440617213996916
41,47.1,4354723840,65.7,26.700000000000003,27500544,0.29999999999999716,23.4,11808768,74.79168460562293,0.009440617213996916
42,53.2,4355526656,65.8,32.800000000000004,28303360,0.3999999999999915,23.4,11808768,74.79193368980333,0.009689701394393069
43,56.9,4362702848,65.8,36.5,35479552,0.3999999999999915,23.4,11808768,74.79193368980333,0.009689701394393069
44,49.1,4365234176,65.8,28.700000000000003,38010880,0.3999999999999915,23.4,11808768,74.79204043865951,0.009796450250576072
45,50.0,4358742016,65.8,29.6,31518720,0.3999999999999915,23.4,11808768,74.79209381274858,0.009849824339639213
46,56.5,4361363456,65.8,36.1,34140160,0.3999999999999915,23.4,25276416,74.79812362934342,0.015879640934485906
47,59.4,4361351168,65.8,39.0,34127872,0.3999999999999915,23.4,25276416,74.79812362934342,0.015879640934485906
48,47.0,4358901760,65.8,26.6,31678464,0.3999999999999915,23.4,25276416,74.79812362934342,0.015879640934485906
49,54.9,4360155136,65.8,34.5,32931840,0.3999999999999915,23.4,25276416,74.79812362934342,0.015879640934485906
50,49.9,4360003584,65.8,29.5,32780288,0.3999999999999915,23.4,25276416,74.79812362934342,0.015879640934485906
51,46.0,4357664768,65.8,25.6,30441472,0.3999999999999915,23.4,25276416,74.79812362934342,0.015879640934485906
52,61.0,4368863232,65.9,40.6,41639936,0.5,23.4,25276416,74.79812362934342,0.015879640934485906
53,54.0,4355940352,65.7,33.6,28717056,0.29999999999999716,23.4,25276416,74.79812362934342,0.015879640934485906
54,48.6,4346114048,65.6,28.200000000000003,18890752,0.19999999999998863,23.4,25276416,74.79823032578093,0.015986337371998616
55,54.2,4349001728,65.8,33.800000000000004,21778432,0.3999999999999915,23.4,25276416,74.79823032578093,0.015986337371998616
