Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,99.0,4357816320,65.5,81.5,86450176,1.0,22.7,7110656,74.78204196297351,0.0028978082819008932
1,96.2,4373417984,65.6,78.7,102051840,1.0999999999999943,22.7,7110656,74.78204196297351,0.0028978082819008932
2,98.5,4377600000,65.7,81.0,106233856,1.2000000000000028,22.7,7110656,74.78204196297351,0.0028978082819008932
3,99.2,4377067520,65.7,81.7,105701376,1.2000000000000028,22.7,7110656,74.78211484798256,0.002970693290947679
4,99.0,4390821888,65.8,81.5,119455744,1.2999999999999972,22.7,7110656,74.78211484798256,0.002970693290947679
5,98.2,4392067072,65.8,80.7,120700928,1.2999999999999972,22.7,7110656,74.78211484798256,0.002970693290947679
6,98.0,4395675648,65.9,80.5,124309504,1.4000000000000057,22.7,7110656,74.78211484798256,0.002970693290947679
7,98.5,4389974016,65.7,81.0,118607872,1.2000000000000028,22.7,7110656,74.78211484798256,0.002970693290947679
8,99.8,4389138432,65.8,82.3,117772288,1.2999999999999972,22.7,7110656,74.78211484798256,0.002970693290947679
9,98.7,4390531072,65.8,81.2,119164928,1.2999999999999972,22.7,7110656,74.78211484798256,0.002970693290947679
10,77.9,4304654336,64.7,60.400000000000006,33288192,0.20000000000000284,22.7,7110656,74.78218773257032,0.003043577878713677
