Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,99.2,4335804416,65.7,69.7,60968960,0.7999999999999972,22.7,0,74.77907124645155,-0.00021617134132156934
1,92.2,4329074688,65.6,62.7,54239232,0.6999999999999886,22.7,0,74.77914415469161,-0.00014326310126477892
2,96.3,4333490176,65.2,66.8,58654720,0.29999999999999716,22.7,0,74.77914415469161,-0.00014326310126477892
3,98.2,4335984640,65.2,68.7,61149184,0.29999999999999716,22.7,0,74.77914415469161,-0.00014326310126477892
4,66.5,4273102848,64.4,37.0,-1732608,-0.5,22.7,0,74.77914415469161,-0.00014326310126477892
