Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,79.1,4399095808,66.4,63.3,27144192,0.30000000000001137,23.2,0,74.76741539493472,5.763215747833783e-05
1,88.3,4397105152,66.4,72.5,25153536,0.30000000000001137,23.2,0,74.7677553202502,0.00039755747296510435
2,89.6,4397305856,66.4,73.8,25354240,0.30000000000001137,23.2,0,74.76786266318389,0.000504900406653519
3,87.6,4398559232,66.4,71.8,26607616,0.30000000000001137,23.2,0,74.76786266318389,0.000504900406653519
4,74.2,4407119872,66.6,58.400000000000006,35168256,0.5,23.2,0,74.76786266318389,0.000504900406653519
5,91.0,4453371904,67.2,75.2,81420288,1.1000000000000085,23.2,0,74.76786266318389,0.000504900406653519
6,99.2,4389789696,67.1,83.4,17838080,1.0,23.2,0,74.7679342246323,0.0005764618550614387
7,89.4,4376866816,67.2,73.60000000000001,4915200,1.1000000000000085,23.2,0,74.7679342246323,0.0005764618550614387
8,84.3,4371574784,66.7,68.5,-376832,0.6000000000000085,23.2,0,74.76104320009982,-0.006314562677417257
9,72.9,4379234304,66.8,57.10000000000001,7282688,0.7000000000000028,23.2,0,74.7598241510809,-0.007533611696331377
10,14.5,4353310720,66.5,-1.3000000000000007,-18640896,0.4000000000000057,23.2,0,74.7598241510809,-0.007533611696331377
