Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,97.2,4338417664,65.3,60.7,79007744,0.8999999999999915,22.7,0,74.61428460074202,-0.00016306685759559514
1,98.7,4339032064,65.4,62.2,79622144,1.0,22.7,0,74.61428460074202,-0.00016306685759559514
2,95.7,4339912704,65.4,59.2,80502784,1.0,22.7,0,74.61622623312408,0.0017785655244608733
3,99.0,4346523648,65.4,62.5,87113728,1.0,22.7,0,74.61622623312408,0.0017785655244608733
4,98.0,4356861952,65.5,61.5,97452032,1.0999999999999943,22.7,0,74.61622623312408,0.0017785655244608733
5,99.5,4356091904,65.4,63.0,96681984,1.0,22.7,0,74.61639264493675,0.001944977337132059
6,98.7,4357689344,65.4,62.2,98279424,1.0,22.7,0,74.61639264493675,0.001944977337132059
7,98.2,4354125824,65.4,61.7,94715904,1.0,22.7,0,74.61666999310917,0.002222325509549705
8,99.2,4358037504,65.5,62.7,98627584,1.0999999999999943,22.7,0,74.61702129209378,0.0025736244941612085
9,99.5,4359880704,65.4,63.0,100470784,1.0,22.7,0,74.61702129209378,0.0025736244941612085
10,98.8,4363137024,65.5,62.3,103727104,1.0999999999999943,22.7,0,74.61702129209378,0.0025736244941612085
11,95.2,4363218944,65.5,58.7,103809024,1.0999999999999943,22.7,0,74.61702129209378,0.0025736244941612085
12,98.7,4368855040,65.6,62.2,109445120,1.1999999999999886,22.7,0,74.61709524853572,0.002647580936098848
13,97.8,4369600512,65.6,61.3,110190592,1.1999999999999886,22.7,0,74.61709524853572,0.002647580936098848
14,97.8,4378664960,65.7,61.3,119255040,1.2999999999999972,22.7,0,74.61722467127211,0.0027770036724916736
15,97.5,4374798336,65.6,61.0,115388416,1.1999999999999886,22.7,0,74.61722467127211,0.0027770036724916736
16,99.3,4373766144,65.6,62.8,114356224,1.1999999999999886,22.7,0,74.61722467127211,0.0027770036724916736
